"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"it",0.059238,-0.085888,0.101114,-0.062289,0.104631,-0.051302,0.073257,-0.012629,-0.034304,0.005309,0.086277,0.011103,-0.030445,-0.017772,-0.064878,-0.043697,0.064322,0.065904,-0.095366,-0.113587,-0.116698,-0.055897,0.091468,-0.013433,0.075595,-0.011035,-0.034719,0.109371,0.025319,0.069452,0.037699,-6.2e-05,-0.010407,-0.071391,-0.136384,0.073483,0.094519,0.068857,0.035044,0.106211,-0.021222,0.003338,-0.087724,0.035189,-0.062868,0.049425,-0.025329,0.01293,-0.063715,0.041687,0.036333,-0.017142,0.099457,-0.054295,0.1064,-0.039364,0.054893,-0.008277,-0.090101,0.064561,-0.032379,0.007724,0.015542,-0.051432,0.020621,-0.011156,-0.06709,0.082316,-0.071809,0.037614,0.074294,0.043149,0.129651,0.054302,-0.041622,0.039591,0.100871,-0.021101,-0.062441,-0.031182,0.077369,0.076876,-0.035932,-0.029063,0.118846,-0.088549,-0.011276,0.061674,-0.006013,0.006231,-0.117313,-0.03948,-0.000901,0.054342,-0.068887,-0.060236,-0.046924,-0.064207,-0.037875,-0.032209
"are",0.042046,-0.097229,0.084947,-0.0212,0.170451,-0.139289,0.139454,-0.045053,-0.124169,0.006727,0.159674,0.004323,-0.002452,-0.041425,-0.061873,-0.082288,0.067719,0.10471,-0.061475,-0.131265,-0.105504,-0.090139,0.11604,-0.029868,0.132218,-0.053146,-0.084007,0.075365,0.033142,0.01353,0.029869,0.084063,0.027468,-0.125054,-0.139471,0.112724,0.052464,0.091004,0.06872,0.0149,-0.006397,0.012657,-0.094715,0.021579,0.009595,0.049643,0.000891,0.006503,-0.11248,0.071722,0.018015,-0.0568,0.077933,-0.074184,0.135157,-0.078191,0.050569,-0.032239,-0.081996,-0.003151,-0.000344,-0.029306,-0.000909,-0.105498,0.052456,-0.029839,-0.114024,0.046535,-0.08848,0.046447,0.071133,-0.021376,0.092603,0.067393,-0.011463,0.111547,0.161335,0.020552,-0.061255,0.018639,0.06211,0.037779,-0.07174,0.009196,0.111784,-0.133994,0.053544,0.049293,-0.032136,0.082598,-0.157839,-0.09388,0.027107,0.008424,-0.044756,-0.125523,-0.045674,-0.030992,-0.027208,0.044955
"be",0.008944,-0.085681,0.071272,-0.025119,0.122915,-0.025035,0.060554,-0.004649,-0.012772,0.004154,0.083358,-0.000908,-0.023807,-0.039901,-0.051864,-0.067093,0.063517,0.016197,-0.068932,-0.087166,-0.100377,-0.042011,0.058252,-0.025243,0.051872,-0.018538,0.00427,0.068357,0.025426,0.065253,0.045167,0.028401,0.01808,-0.063336,-0.15136,0.057872,0.105883,0.049642,0.016549,0.078867,-0.005339,-0.03202,-0.092448,0.038886,-0.054629,0.024435,-0.00261,0.006833,-0.068383,0.05779,0.012914,-0.031072,0.076096,-0.040918,0.094455,-0.061167,0.023969,0.022833,-0.034016,0.005449,0.001451,0.007011,-0.008362,-0.059893,0.044327,0.034896,-0.042267,0.083339,-0.05632,0.043878,0.059051,0.03524,0.103678,0.038692,-0.046034,0.006065,0.044508,-0.008132,-0.020052,-0.035421,0.070914,0.053802,-0.05256,-0.021078,0.087483,-0.06012,0.011923,0.06983,-0.017201,0.022431,-0.09087,-0.046689,-0.019152,0.026294,-0.042046,-0.086375,-0.082882,-0.039006,-0.015907,-0.00405
"from",0.084626,-0.026814,0.065422,-0.120632,0.065278,-0.109725,0.10329,-0.035432,-0.046059,-0.007987,0.030375,0.03068,-0.00298,0.004168,-0.062928,0.00792,0.05644,0.090447,-0.108523,-0.110693,-0.07762,-0.053985,0.067523,0.048761,0.112795,-0.014055,-0.094527,0.099517,0.06109,0.035226,0.008975,-0.036758,-0.079654,-0.084757,-0.041502,0.064962,-0.003722,0.089776,0.03487,0.084055,-0.025982,0.051633,-0.005442,0.0363,0.004638,0.024292,-0.032003,-0.011563,-0.046293,-0.012315,0.005652,0.003455,0.071698,-0.007052,0.058064,0.009344,0.077914,-0.075631,-0.095013,0.044661,-0.007034,0.009517,0.002433,0.033598,0.015995,-0.043501,-0.110032,0.044225,-0.082612,-0.002032,0.126288,-0.013411,0.031397,0.015867,-0.022682,0.062022,0.086075,0.063343,-0.042404,0.059973,0.036433,0.031077,-0.070943,0.034999,0.077316,-0.092748,-0.022264,0.005992,-0.019976,-0.010888,-0.065852,-0.076733,0.015947,0.042629,-0.017641,0.007969,-0.027274,-0.017716,-0.001572,-0.025746
"not",0.031442,-0.083137,0.117502,-0.044779,0.133577,-0.027235,0.103889,-0.031514,-0.000955,0.021731,0.089406,0.012682,-0.047816,-0.028558,-0.072874,-0.058482,0.070995,0.014283,-0.110543,-0.122883,-0.140435,-0.037672,0.0854,-0.027396,0.054213,0.024382,-0.007899,0.094682,0.026395,0.068466,0.046193,-0.003779,0.005074,-0.065941,-0.174871,0.0794,0.144486,0.023838,0.022319,0.126503,-0.007499,-0.047111,-0.108836,0.069392,-0.091779,0.048243,-0.006244,0.010755,-0.07744,0.06333,0.027989,-0.03123,0.09268,-0.050185,0.096827,-0.048042,0.035419,0.030061,-0.07084,0.069633,-0.00557,0.037019,0.014886,-0.037265,0.039887,0.020755,-0.046505,0.113033,-0.080768,0.043573,0.073986,0.068682,0.177653,0.054736,-0.053892,-0.00882,0.060381,-0.026857,-0.056354,-0.057127,0.111709,0.082744,-0.050485,-0.062628,0.114331,-0.078647,-0.030539,0.0563,-0.011089,0.002354,-0.084659,-0.035814,-0.031158,0.038175,-0.095784,-0.066722,-0.074467,-0.073381,-0.033702,-0.065456
"]",0.112394,0.203815,0.060717,-0.091896,-0.525127,-0.071167,-0.025035,-0.198716,-0.006595,0.077692,-0.197235,0.191858,-0.100342,0.417997,-0.079574,0.366894,-0.130742,0.153607,-0.005019,-0.020671,0.110718,-0.001787,-0.030618,0.047961,-0.177214,0.22728,-0.20292,-0.061981,-0.044426,-0.359537,-0.286095,-0.241014,-0.25566,0.313418,0.610778,-0.094635,-0.2889,-0.156685,-0.018109,-0.049132,0.239878,0.205021,0.431321,-0.017364,-0.055157,0.210376,-0.256645,-0.057443,0.264043,-0.195769,0.028339,0.220035,0.021042,0.073339,-0.24468,0.229041,0.179137,-0.277628,-0.250107,0.755032,-0.268683,-0.031426,0.11347,0.287182,-0.461372,-0.6667,-0.09179,-0.246636,0.000963,-0.138918,-0.065995,-0.038744,-0.006918,0.001186,0.157696,0.216684,0.144647,-0.131475,-0.325562,-0.013964,-0.221769,-0.048569,0.367235,-0.095833,-0.030805,0.098294,-0.339305,-0.345834,0.247175,-0.347989,0.208651,0.43549,0.269266,0.158436,-0.268275,0.560133,0.668885,-0.089205,-0.125496,-0.303605
"all",0.069357,-0.043527,0.076841,-0.072094,0.092675,-0.09382,0.093602,-0.031137,-0.069156,-0.030212,0.065018,0.030982,0.004819,-0.006632,-0.08038,-0.026438,0.058045,0.099638,-0.078478,-0.092375,-0.09508,-0.075946,0.062758,-0.010333,0.10677,-0.055195,-0.093094,0.098414,0.067499,0.011028,0.0043,0.014817,-0.045909,-0.102209,-0.05988,0.091156,-0.004741,0.07008,0.079822,0.052872,-0.005649,0.018837,-0.012048,0.022606,0.013033,0.043836,-0.026312,-0.001989,-0.036764,0.026683,-0.006586,0.001143,0.07831,-0.030937,0.082601,0.004559,0.087729,-0.07847,-0.102038,0.041275,-0.031159,-0.031655,-0.010467,-0.027166,-0.035889,-0.059118,-0.099741,0.032456,-0.077127,-0.000248,0.089003,-0.03567,0.034726,0.002997,-0.039189,0.099083,0.125902,0.022971,-0.062333,0.031913,0.055305,0.030165,-0.052595,0.030937,0.078436,-0.095144,0.002236,-0.004479,-0.029178,0.020611,-0.112769,-0.048957,0.034172,0.052214,-0.04926,-0.02669,-0.000741,-0.008487,-0.037829,-0.016251
"by",0.056013,-0.039112,0.049588,-0.077877,0.138458,-0.080896,0.101464,-0.035797,-0.042019,-0.030592,0.065484,0.024452,-0.006767,-0.023187,-0.096864,-0.022735,0.077919,0.082934,-0.115053,-0.107989,-0.110415,-0.055423,0.069051,0.020337,0.116713,-0.033817,-0.080766,0.081563,0.07465,0.028833,0.023171,0.001547,-0.057304,-0.103331,-0.109655,0.082253,0.030233,0.071668,0.053189,0.075884,-0.002231,-0.017597,-0.011772,0.047697,0.003542,0.003872,-0.01252,-0.019192,-0.081017,0.037943,-0.025732,-0.016496,0.076196,-0.008011,0.065368,-0.027254,0.046411,-0.062351,-0.074649,0.011364,0.008875,-0.012373,-0.023313,-0.002986,0.031421,-0.02221,-0.095986,0.068154,-0.083525,0.000814,0.114125,-0.032983,0.031314,-0.001169,-0.056612,0.040291,0.074782,0.048494,-0.025417,0.04137,0.075064,0.024053,-0.071823,0.044023,0.073247,-0.093072,0.001463,0.017473,-0.038303,0.01623,-0.080707,-0.075884,0.003137,0.035895,-0.025706,-0.043749,-0.042465,-0.003353,-0.027245,-0.013164
"or",-0.010792,-0.115284,0.11544,-0.037994,0.162531,-0.041779,0.103105,-0.056856,-0.026999,0.020117,0.126441,0.025558,-0.073678,0.001606,-0.10369,-0.024061,0.077116,0.046034,-0.149061,-0.171292,-0.180917,-0.035306,0.10926,-0.015801,0.061253,0.043639,-0.055164,0.065582,0.009196,0.061539,0.053842,-0.014465,0.005043,-0.035914,-0.210335,0.075668,0.178424,0.036636,0.009093,0.149061,0.084417,-0.0586,-0.07081,0.071622,-0.130295,0.058367,-0.036535,-0.011292,-0.131851,0.088394,0.016503,-0.036365,0.127618,-0.034649,0.092842,-0.087352,0.011614,0.003198,-0.098595,0.156584,0.01153,0.026409,-0.016121,-0.069982,0.058151,-0.054559,-0.089298,0.129646,-0.118518,0.068159,0.097992,0.052619,0.158268,0.045123,-0.036108,-0.004304,0.083424,-0.015261,-0.063629,-0.094162,0.101033,0.098201,-0.016521,-0.070015,0.143079,-0.069413,-0.033391,0.071018,0.012377,-0.018092,-0.112725,-0.020861,-0.031262,0.05342,-0.156653,-0.081597,-0.030682,-0.07798,-0.061791,-0.080432
"We",0.020951,-0.005807,0.113788,-0.065901,0.087288,-0.016939,0.073278,-0.016576,0.014003,-0.073365,-0.014921,0.047797,-0.002625,-0.031902,-0.094369,-0.032874,0.054174,-0.002874,-0.101349,-0.067876,-0.15271,-0.030807,0.006162,-0.038877,0.062487,-0.021521,-0.018753,0.103485,0.086127,0.045167,0.024186,-0.038047,-0.064602,-0.072066,-0.108334,0.067117,0.044586,-0.000356,0.073427,0.124066,-0.005564,-0.047903,0.018151,0.062893,-0.03698,0.019037,-0.034534,-0.007018,-0.006479,0.054425,-0.032252,0.042921,0.116966,0.018375,0.052097,0.035843,0.100998,-0.046481,-0.066913,0.075235,-0.036594,-0.025015,-0.019637,0.025185,-0.077249,-0.037526,-0.04217,0.08368,-0.078446,-0.009246,0.090252,-0.015972,0.069182,-0.054256,-0.077394,0.021311,0.066031,0.007109,-0.048628,-0.011026,0.118873,0.058254,-0.073047,0.012457,0.037427,-0.058644,-0.044482,-0.063416,-0.010885,-0.006144,-0.070331,-0.022878,-0.034562,0.050587,-0.095933,0.009159,-0.001388,0.000138,-0.04332,-0.095471
"on",0.022483,-0.019663,0.049221,-0.060123,0.124134,-0.052372,0.08611,-0.020399,-0.012678,-0.058473,0.011348,0.028165,0.00931,-0.024077,-0.094117,-0.027144,0.074216,0.018141,-0.102653,-0.075058,-0.122582,-0.025565,0.017824,0.001583,0.09415,-0.058615,-0.057571,0.069409,0.089794,0.02095,0.018171,-0.00466,-0.060409,-0.097547,-0.08484,0.07506,0.005947,0.018731,0.067508,0.074202,-0.018519,-0.050895,0.025208,0.066092,0.0098,-0.019267,-0.018514,-0.007335,-0.051766,0.044762,-0.052315,0.010897,0.084815,0.006486,0.049743,0.001847,0.06893,-0.05706,-0.045835,-0.001709,0.007065,-0.021396,-0.02428,0.016244,-0.008801,-0.01516,-0.065448,0.068329,-0.086262,-0.026242,0.102044,-0.047014,0.005894,-0.059336,-0.074306,0.029623,0.057906,0.049752,-0.01237,0.031804,0.102067,0.007326,-0.092427,0.059502,0.009376,-0.068126,-0.009175,-0.022513,-0.04297,0.030733,-0.062294,-0.049955,-0.024791,0.031295,-0.031034,-0.031385,-0.041804,0.03819,-0.01388,-0.034842
"very",0.022056,-0.037431,0.086307,-0.02343,0.100385,-0.022783,0.065517,-0.008137,-0.024213,-0.038079,0.025879,0.036093,-0.000511,-0.02162,-0.078158,-0.053813,0.047896,0.023956,-0.081699,-0.062221,-0.132985,-0.055887,0.032468,-0.055622,0.08118,-0.055028,-0.028083,0.09708,0.061702,0.026106,0.020203,-0.003161,-0.018412,-0.079771,-0.097059,0.071253,0.033427,0.005704,0.088616,0.081531,-0.014692,-0.045335,-0.031869,0.043921,-0.012576,0.031907,-0.015049,0.013503,-0.017963,0.068633,-0.018499,0.018237,0.110361,-0.035119,0.085361,0.007005,0.079083,-0.035965,-0.068327,0.05615,-0.052044,-0.028659,0.009269,-0.013922,-0.060107,-0.032078,-0.045556,0.072031,-0.085313,-0.008167,0.056113,-0.013317,0.084574,-0.016183,-0.075949,0.056385,0.106835,-0.01202,-0.051604,-0.01985,0.096151,0.043425,-0.060483,0.00234,0.056744,-0.075516,-0.011342,-0.037344,-0.032536,0.030481,-0.096536,-0.013148,-0.008031,0.057581,-0.080775,-0.03071,0.002382,-0.013386,-0.044836,-0.071129
"had",0.003159,-0.06326,0.127523,-0.037703,0.131165,0.008235,0.086361,-0.03368,0.017827,-0.022591,0.055398,0.036353,-0.045736,-0.032853,-0.098536,-0.052096,0.073278,-0.010172,-0.112524,-0.105354,-0.172527,-0.025817,0.046631,-0.059387,0.045437,0.020283,-0.002626,0.091798,0.050305,0.059643,0.044454,-0.012059,-0.01602,-0.054724,-0.178301,0.081222,0.143535,-0.014125,0.052376,0.144476,0.029912,-0.081268,-0.058013,0.083386,-0.099773,0.037671,-0.028617,-0.002029,-0.059984,0.082973,-0.01393,0.001655,0.113877,-0.016889,0.08297,-0.026728,0.04831,0.00055,-0.064362,0.108487,-0.01294,0.001919,-0.011353,-0.023241,-0.012751,-0.01823,-0.031161,0.109924,-0.080621,0.027179,0.079648,0.044743,0.147654,0.00615,-0.0719,-0.011597,0.053797,-0.030387,-0.052442,-0.072094,0.132315,0.076668,-0.046812,-0.048493,0.088393,-0.058301,-0.035923,0.006875,-0.001852,-0.011089,-0.080505,-0.008123,-0.044293,0.04838,-0.130727,-0.047411,-0.031118,-0.055192,-0.05015,-0.090674
"but",0.008995,-0.060202,0.089798,-0.028104,0.095447,-0.012525,0.052714,-0.010666,-0.007946,0.008804,0.055047,0.012286,-0.028051,-0.037568,-0.050005,-0.052228,0.044405,0.004078,-0.073904,-0.087932,-0.115795,-0.035871,0.057047,-0.044527,0.04911,0.01531,0.000214,0.075253,0.016673,0.068297,0.052523,0.002288,0.007623,-0.04791,-0.135862,0.046191,0.12033,0.02537,0.028892,0.101924,-0.002688,-0.034309,-0.083189,0.040357,-0.069982,0.041176,-0.012183,0.015017,-0.049853,0.058527,0.025876,-0.01665,0.094091,-0.039279,0.08543,-0.036574,0.029552,0.02509,-0.04778,0.060501,-0.017614,0.00871,0.01519,-0.041234,0.016562,-0.002377,-0.025268,0.08642,-0.063708,0.039116,0.047973,0.047351,0.136693,0.035554,-0.041484,0.007338,0.070984,-0.030302,-0.048542,-0.06514,0.09521,0.069766,-0.033449,-0.054208,0.08953,-0.054446,-0.015398,0.034769,-0.00462,0.009173,-0.0906,-0.028044,-0.029258,0.03932,-0.09301,-0.049254,-0.041997,-0.058848,-0.037384,-0.058803
"which",0.033173,-0.072975,0.084719,-0.063737,0.14467,-0.100623,0.124064,-0.056618,-0.053112,-0.016926,0.095136,0.023486,-0.029067,0.010181,-0.117791,-0.022884,0.081173,0.090564,-0.123068,-0.135938,-0.144352,-0.056004,0.078354,0.003395,0.097706,-0.032301,-0.096596,0.073634,0.054513,0.003833,0.005583,0.0137,-0.035711,-0.074646,-0.117862,0.106342,0.050292,0.050649,0.047912,0.070693,0.039941,-0.02424,0.000464,0.063119,-0.029769,0.029701,-0.037532,-0.010476,-0.094911,0.048399,-0.017528,-0.012467,0.097769,-0.025111,0.067954,-0.039103,0.059796,-0.063593,-0.103064,0.07821,-0.004365,-0.027346,-0.021455,-0.034465,0.008143,-0.078997,-0.107571,0.054839,-0.092319,0.013863,0.097295,-0.02471,0.066762,-0.001487,-0.036276,0.058739,0.113696,0.011065,-0.070728,0.003013,0.084897,0.044401,-0.03543,0.00975,0.082702,-0.09187,-0.014695,0.021772,-0.009846,0.004981,-0.095706,-0.023447,0.013457,0.033478,-0.087372,-0.051582,-0.014945,-0.019922,-0.047261,-0.020635
"an",0.031616,-0.062079,0.078011,-0.02015,0.072463,-0.040593,0.057955,-0.035907,-0.038902,-0.018772,0.065625,0.009933,-0.02526,0.016194,-0.065652,-0.028214,0.039073,0.058195,-0.059699,-0.079361,-0.094713,-0.037279,0.050805,-0.03207,0.039695,-0.017772,-0.047712,0.06935,0.014171,0.010139,0.001601,0.020089,-0.006177,-0.033862,-0.075115,0.068148,0.03067,0.036451,0.045899,0.033892,0.026309,-0.010542,-0.025169,0.026266,-0.041159,0.05498,-0.032243,0.001944,-0.030643,0.029542,0.005773,0.00618,0.073295,-0.032994,0.064546,-0.014586,0.051565,-0.035072,-0.080195,0.077071,-0.029282,-0.035657,-0.008047,-0.04796,-0.031611,-0.048342,-0.048607,0.013809,-0.048545,0.020734,0.044648,-0.005716,0.075472,0.010032,-0.024941,0.058178,0.095512,-0.034123,-0.061885,-0.030083,0.047421,0.047474,-0.00512,-0.013636,0.06642,-0.050329,0.000695,0.011472,0.004847,0.004601,-0.07367,0.014887,0.024381,0.04356,-0.05956,-0.033668,0.009279,-0.029569,-0.039477,-0.017514
"has",0.02404,-0.054681,0.078212,-0.029283,0.09661,-0.00311,0.060182,-0.018868,-0.018129,-0.029326,0.022589,0.032801,-0.02086,0.000916,-0.05867,-0.032433,0.041917,0.004893,-0.066911,-0.074306,-0.127196,0.004089,0.031641,-0.04082,0.034378,-0.027319,-0.023172,0.07971,0.024171,0.048609,0.020866,-0.021557,-0.020735,-0.052921,-0.110415,0.034486,0.055917,0.026802,0.045816,0.085348,0.007222,-0.032711,-0.039585,0.037564,-0.065304,0.053156,-0.032736,0.03029,-0.036721,0.055478,0.010041,0.015746,0.095578,-0.020036,0.083243,-0.006414,0.036947,-0.009714,-0.062575,0.048874,-0.032854,-0.004225,0.019399,-0.004766,-0.037355,0.007794,-0.035486,0.069008,-0.073591,0.012312,0.056447,0.014023,0.079703,-0.015064,-0.045882,0.031494,0.071581,-0.003991,-0.023403,-0.038469,0.078009,0.037594,-0.043189,-0.009975,0.053992,-0.043717,-0.00903,0.005622,-0.01916,0.018967,-0.075507,-0.007183,-0.027917,0.034146,-0.026048,-0.050136,-0.025258,-0.004345,-0.008147,-0.05105
"He",0.070287,-0.052609,0.104332,-0.09096,0.100345,-0.026613,0.08619,-0.027405,0.004961,-0.039655,0.0081,0.046785,-0.012846,0.014746,-0.08912,-0.032103,0.062847,0.01914,-0.103407,-0.091124,-0.141924,-0.014161,0.02496,-0.02846,0.056807,-0.03994,-0.039161,0.131065,0.056649,0.065932,0.01457,-0.039566,-0.052924,-0.077267,-0.097923,0.059149,0.034845,0.034177,0.064622,0.112283,-0.024456,-0.014762,-0.035579,0.049042,-0.049238,0.058309,-0.041975,0.034466,-0.005502,0.029698,0.002236,0.020793,0.100647,-0.027209,0.093628,0.027167,0.081243,-0.040154,-0.085344,0.046814,-0.052855,0.005193,0.025237,0.030424,-0.056344,0.015447,-0.061571,0.071821,-0.084942,-0.003543,0.098851,0.006833,0.096592,-0.013591,-0.066973,0.037667,0.065834,-0.002677,-0.041691,0.000899,0.08529,0.050496,-0.069384,0.002295,0.063569,-0.0711,-0.0314,-0.007333,-0.031677,0.007854,-0.073064,-0.029137,-0.012641,0.062275,-0.006955,-0.009651,-0.045396,-0.018209,-0.005985,-0.065928
"me",0.024609,-0.043168,0.07792,-0.042034,0.086102,-0.01702,0.069906,-0.019272,-0.005903,-0.047386,0.034672,0.02627,-0.013343,-0.012946,-0.082309,-0.032653,0.051337,0.015715,-0.074409,-0.072719,-0.112997,-0.033372,0.025344,-0.027863,0.048758,-0.024571,-0.024381,0.086504,0.054758,0.031823,0.015685,0.000732,-0.028163,-0.055325,-0.095252,0.074521,0.035609,0.015682,0.050925,0.078368,0.009627,-0.039224,-0.012474,0.050659,-0.037154,0.019982,-0.024339,-0.001422,-0.019789,0.040521,-0.022819,0.017456,0.084357,-0.00352,0.050441,-0.000733,0.059251,-0.039365,-0.056535,0.051569,-0.017898,-0.019577,-0.019245,-0.021219,-0.038473,-0.019422,-0.033053,0.05103,-0.050778,0.002302,0.067225,-0.003685,0.052281,-0.021632,-0.052206,0.026531,0.058442,-0.001313,-0.036356,-0.017158,0.074211,0.040826,-0.040729,0.010988,0.04843,-0.046862,-0.012314,-0.007554,-0.012914,0.002242,-0.074364,-0.018092,-0.004425,0.038975,-0.056417,-0.027109,-0.015244,-0.015661,-0.028973,-0.034262
"upon",0.049417,-0.049642,0.089903,-0.099173,0.150429,-0.070595,0.12508,-0.040114,-0.012169,-0.033686,0.056768,0.033527,-0.022492,-0.024983,-0.108156,-0.028348,0.084677,0.055445,-0.137379,-0.126339,-0.143058,-0.049588,0.051594,0.003031,0.102048,-0.029811,-0.062153,0.108662,0.081912,0.061314,0.031054,-0.020473,-0.05941,-0.108721,-0.140866,0.084802,0.063906,0.059202,0.049985,0.118251,0.000491,-0.026381,-0.028013,0.06796,-0.034703,0.011613,-0.024802,-0.006646,-0.076506,0.049021,-0.012362,-0.011562,0.096878,-0.008669,0.087529,-0.0179,0.066619,-0.044725,-0.080531,0.017454,0.004629,-0.002169,-0.024167,0.008489,0.018671,0.002937,-0.094899,0.094973,-0.092614,0.009725,0.136808,-0.009198,0.06465,-0.012861,-0.070817,0.020743,0.065787,0.051824,-0.023873,0.019532,0.094118,0.051991,-0.092189,0.028554,0.08117,-0.089962,-0.017162,0.021843,-0.033378,0.003724,-0.082306,-0.081501,-0.016965,0.042182,-0.028679,-0.050488,-0.080619,-0.014067,-0.01511,-0.027569
"him",-0.014472,-0.054105,0.109716,-0.018919,0.128237,0.030517,0.060462,-0.014872,0.045123,-0.069344,0.019975,0.040311,-0.029669,-0.019079,-0.112397,-0.056139,0.069038,-0.038603,-0.094339,-0.058752,-0.179562,-0.002356,-0.001284,-0.072172,0.017647,-0.033045,0.019606,0.095242,0.066764,0.05597,0.030289,-0.005894,-0.022524,-0.050849,-0.162813,0.067851,0.092556,-0.030558,0.060384,0.116813,0.025154,-0.097638,-0.027092,0.078549,-0.090211,0.024635,-0.027448,0.014854,-0.021413,0.08762,-0.042598,0.031542,0.124937,-0.006568,0.072542,-0.005412,0.070832,-0.007328,-0.048248,0.076132,-0.040365,-0.023148,-0.020079,-0.009885,-0.075055,0.003862,-0.004218,0.098667,-0.066732,0.009334,0.054878,0.010979,0.101536,-0.049711,-0.093378,-0.006213,0.038448,-0.037101,-0.029411,-0.067987,0.136644,0.052454,-0.056436,-0.023981,0.029641,-0.028632,-0.028827,-0.029808,-0.009451,-0.001597,-0.06518,0.021048,-0.048946,0.04592,-0.084266,-0.035108,-0.03294,-0.00882,-0.041922,-0.084633
"they",-0.001738,-0.077145,0.081904,-0.008876,0.156522,-0.059532,0.091905,-0.037732,-0.052505,-0.008135,0.106599,0.019025,-0.023713,-0.018787,-0.0774,-0.058036,0.06786,0.042711,-0.086892,-0.11064,-0.127773,-0.043363,0.071642,-0.033653,0.076463,-0.023348,-0.052089,0.054325,0.032586,0.031645,0.030464,0.038421,0.001885,-0.077224,-0.15132,0.074331,0.077875,0.045139,0.052541,0.058429,0.022514,-0.03589,-0.065204,0.042473,-0.036916,0.029447,-0.015999,0.003691,-0.091618,0.085077,-0.004882,-0.02905,0.092351,-0.041142,0.10107,-0.066145,0.024541,-0.006851,-0.067504,0.035669,0.005887,-0.018069,-0.003964,-0.067458,0.02772,-0.014967,-0.080315,0.083821,-0.08987,0.027027,0.056733,0.00449,0.096232,0.027249,-0.044198,0.04263,0.10409,0.012599,-0.039226,-0.027387,0.085416,0.043361,-0.052646,-0.004714,0.075679,-0.078976,0.019745,0.03234,-0.027381,0.045586,-0.108664,-0.047012,-0.01369,0.023116,-0.063043,-0.097904,-0.038816,-0.008686,-0.028513,-0.016909
"were",0.031488,-0.019595,0.084681,-0.062742,0.073032,-0.039032,0.074864,-0.026105,-0.017436,-0.038408,0.024348,0.033894,-0.008443,-0.022763,-0.07424,-0.022246,0.048171,0.026787,-0.074848,-0.072883,-0.10172,-0.044614,0.032259,-0.021211,0.071543,-0.020526,-0.040244,0.091857,0.057797,0.026461,0.01639,-0.014341,-0.044752,-0.060539,-0.07898,0.071232,0.034237,0.021824,0.05924,0.086769,-0.000176,-0.018512,-0.013568,0.039991,-0.02102,0.021991,-0.030539,-0.006283,-0.027866,0.033489,-0.008263,0.01725,0.085358,-0.002393,0.051859,0.014044,0.066368,-0.050414,-0.065733,0.062779,-0.018567,-0.012821,-0.014156,-0.001557,-0.036349,-0.036199,-0.056817,0.05588,-0.062223,0.006829,0.083651,-0.01358,0.064486,-0.00857,-0.049523,0.031925,0.075753,0.010165,-0.046481,0.003837,0.086463,0.045484,-0.059448,0.004239,0.057275,-0.066259,-0.020209,-0.020086,-0.008418,-0.001422,-0.072983,-0.02546,-0.008047,0.044847,-0.076237,-0.005129,-0.002691,-0.020757,-0.031483,-0.055829
